id,x,z
32,4.045454545454545,7.909090909090909
32,3.675095072181924,7.645565899262314
32,3.643431471846802,7.192124627803979
32,3.2110260537769086,7.051992102415564
32,2.7756238951996064,6.921468041207836
32,2.3615959287925716,6.733871630579088
32,2.0517644314710966,6.401281772773011
32,1.842002729898531,5.998030487838523
32,1.664885027018285,5.57941265547306
32,1.2243261010620987,5.467522517354161
32,0.7730548280481999,5.521981753488619
32,0.6435980985497851,5.086261056900188
32,0.5141413690513703,4.650540360311757
32,0.07151427888102035,4.753946497921006
32,-0.38228038679688536,4.78006108484502
32,-0.7459993278405248,4.507443950068009
32,-1.0159655062555335,4.873134847903776
32,-1.4230250706578484,5.075407142785037
32,-1.863072023904806,4.961520140954261
32,-2.094178869338381,4.5701108970142705
32,-2.347071602115009,4.192411498078155
32,-2.071813791756921,3.830686867889935
32,-2.1144801147859313,3.378148300332298
32,-2.199895859869134,2.9317004078075204
32,-2.409446717940532,2.528339517128373
32,-2.282012843269049,2.0920229143796965
32,-2.477478806803517,1.6816515857668453
32,-2.3102650489216536,1.258980165603429
32,-2.143051291039791,0.8363087454400109
32,-1.7059338586389057,0.9609679630662686
32,-1.3514318882838912,1.245467388834312
32,-1.1474914773695777,0.8392409999277888
32,-0.9833899639069199,0.41535155263380474
32,-0.5967560183268792,0.17634158971772784
32,-0.15329911991475909,0.0765540679595631
32,-0.20249964517274766,-0.3753207803804077
32,0.04932381088892024,-0.7537339371615808
32,-0.36341766034345957,-0.944144147425801
32,-0.7761591315758394,-1.134554357690023
32,-1.272727272727273,-1.3636363636363633
